X,Y,Z,% of ICNIRP Public,
-14.9688,0.15,3.9,0.0759596,
-14.9688,3.075,3.9,0.126658,
-19.5312,3.075,3.9,0.0648757,
-21.8125,3.075,3.9,0.0498741,
-12.6875,-2.775,3.9,0.0530133,
-10.4062,-5.7,3.9,0.0286203,
-12.6875,3.075,3.9,0.190832,
-10.4062,3.075,3.9,0.313927,
-24.0938,3.075,3.9,0.0394672,
-24.0938,6,3.9,0.0525275,
-24.0938,8.925,3.9,0.0654785,
-24.0938,11.85,3.9,0.0782066,
-10.4062,82.05,3.9,0.0342669,
-10.4062,79.125,3.9,0.0367883,
-12.6875,44.025,3.9,0.103352,
-10.4062,41.1,3.9,0.123151,
-14.9688,46.95,3.9,0.0875283,
-24.0938,26.475,3.9,0.0964702,
-21.8125,26.475,3.9,0.112849,
-24.0938,29.4,3.9,0.0922272,
-19.5312,26.475,3.9,0.134415,
-17.25,26.475,3.9,0.160282,
-19.5312,29.4,3.9,0.125377,
-5.84375,26.475,3.9,0.302365,
-3.5625,26.475,3.9,0.317851,
-5.84375,29.4,3.9,0.248697,
-5.84375,23.55,3.9,0.368793,
-5.84375,20.625,3.9,0.461155,
-1.28125,26.475,3.9,0.329335,
1,26.475,3.9,0.328778,
-1.28125,29.4,3.9,0.268751,
-5.84375,17.7,3.9,0.587621,
-8.125,20.625,3.9,0.400964,
-10.4062,23.55,3.9,0.289015,
-12.6875,26.475,3.9,0.214464,
3.28125,23.55,3.9,0.388197,
3.28125,26.475,3.9,0.315807,
5.5625,20.625,3.9,0.44263,
7.84375,17.7,3.9,0.466412,
19.25,3.075,3.9,0.0637549,
21.5312,0.15,3.9,0.0348885,
21.5312,3.075,3.9,0.049368,
16.9688,3.075,3.9,0.0852377,
14.6875,3.075,3.9,0.119132,
23.8125,-2.775,3.9,0.0201366,
26.0938,-5.7,3.9,0.0125924,
23.8125,3.075,3.9,0.0392953,
26.0938,3.075,3.9,0.0319834,
12.4062,3.075,3.9,0.176634,
12.4062,6,3.9,0.252162,
12.4062,8.925,3.9,0.306007,
12.4062,11.85,3.9,0.322676,
26.0938,82.05,3.9,0.0282187,
26.0938,79.125,3.9,0.0297005,
23.8125,44.025,3.9,0.0673437,
26.0938,41.1,3.9,0.0648964,
21.5312,46.95,3.9,0.0690003,
26.0938,38.175,3.9,0.0686756,
28.375,38.175,3.9,0.0603052,
26.0938,35.25,3.9,0.0708998,
30.6562,35.25,3.9,0.0552479,
26.0938,17.7,3.9,0.071548,
26.0938,14.775,3.9,0.0670704,
28.375,14.775,3.9,0.0539761,
23.8125,20.625,3.9,0.0927253,
21.5312,23.55,3.9,0.111542,
26.0938,11.85,3.9,0.0596395,
26.0938,8.925,3.9,0.0501487,
30.6562,11.85,3.9,0.0393093,
32.9375,8.925,3.9,0.0278903,
19.25,26.475,3.9,0.126891,
21.5312,26.475,3.9,0.108608,
-35.5,14.775,3.9,0.0319629,
-33.2188,11.85,3.9,0.0332689,
-33.2188,14.775,3.9,0.0381548,
-30.9375,8.925,3.9,0.0340489,
-28.6562,6,3.9,0.0339911,
-26.375,3.075,3.9,0.0319692,
-24.0938,0.15,3.9,0.0285118,
-21.8125,-2.775,3.9,0.0236207,
-19.5312,-5.7,3.9,0.0177801,
-30.9375,14.775,3.9,0.0461445,
-28.6562,14.775,3.9,0.056246,
-26.375,14.775,3.9,0.0690525,
-24.0938,14.775,3.9,0.0877572,
-21.8125,14.775,3.9,0.1113,
-19.5312,14.775,3.9,0.144488,
-19.5312,82.05,3.9,0.0315119,
-19.5312,79.125,3.9,0.0337318,
-21.8125,79.125,3.9,0.0325226,
-19.5312,76.2,3.9,0.0361757,
-24.0938,82.05,3.9,0.0299508,
-12.6875,79.125,3.9,0.0364798,
-10.4062,76.2,3.9,0.0395965,
-14.9688,82.05,3.9,0.0329525,
1,14.775,3.9,0.968577,
3.28125,11.85,3.9,1.22409,
3.28125,14.775,3.9,0.869509,
-1.28125,14.775,3.9,0.993469,
-3.5625,14.775,3.9,0.912275,
-5.84375,14.775,3.9,0.762119,
-8.125,14.775,3.9,0.606978,
-10.4062,14.775,3.9,0.452568,
-12.6875,14.775,3.9,0.338717,
5.5625,8.925,3.9,1.17115,
7.84375,6,3.9,0.707251,
10.125,3.075,3.9,0.283995,
12.4062,0.15,3.9,0.102692,
14.6875,-2.775,3.9,0.0426601,
16.9688,-5.7,3.9,0.0211342,
5.5625,14.775,3.9,0.716684,
7.84375,14.775,3.9,0.558836,
10.125,14.775,3.9,0.425344,
12.4062,14.775,3.9,0.312061,
14.6875,14.775,3.9,0.236708,
16.9688,14.775,3.9,0.178075,
