X,Y,Z,% of ICNIRP Public,
5.4,-10.1875,3.9,0.00491472,
4.15,-8.625,3.9,0.00618837,
9.15,-10.1875,3.9,0.00913379,
10.4,-10.1875,3.9,0.0098749,
9.15,-8.625,3.9,0.0142016,
9.15,-11.75,3.9,0.00597955,
7.9,-10.1875,3.9,0.00798952,
11.65,-11.75,3.9,0.00731867,
11.65,-10.1875,3.9,0.0103262,
15.4,-16.4375,3.9,0.00354907,
16.65,-18,3.9,0.00290623,
16.65,-16.4375,3.9,0.00373532,
14.15,-16.4375,3.9,0.00325572,
14.15,-14.875,3.9,0.00440338,
16.65,25.75,3.9,0.158202,
16.65,24.1875,3.9,0.165645,
17.9,24.1875,3.9,0.147765,
15.4,27.3125,3.9,0.163991,
16.65,27.3125,3.9,0.150923,
10.4,27.3125,3.9,0.223168,
11.65,25.75,3.9,0.224852,
11.65,27.3125,3.9,0.207871,
15.4,21.0625,3.9,0.195993,
16.65,19.5,3.9,0.179668,
16.65,21.0625,3.9,0.176637,
14.15,21.0625,3.9,0.222703,
14.15,22.625,3.9,0.210969,
16.65,17.9375,3.9,0.182588,
17.9,17.9375,3.9,0.162416,
16.65,13.25,3.9,0.181908,
16.65,11.6875,3.9,0.173958,
17.9,11.6875,3.9,0.146793,
15.4,14.8125,3.9,0.214297,
16.65,14.8125,3.9,0.183895,
11.65,13.25,3.9,0.358299,
11.65,14.8125,3.9,0.347559,
15.4,8.5625,3.9,0.183452,
16.65,7,3.9,0.135691,
16.65,8.5625,3.9,0.150546,
14.15,8.5625,3.9,0.221851,
14.15,10.125,3.9,0.239414,
16.65,5.4375,3.9,0.116803,
17.9,5.4375,3.9,0.0976592,
16.65,0.75,3.9,0.0633684,
16.65,-0.8125,3.9,0.0499899,
17.9,-0.8125,3.9,0.0437922,
15.4,2.3125,3.9,0.096072,
16.65,2.3125,3.9,0.0806684,
10.4,2.3125,3.9,0.232564,
11.65,0.75,3.9,0.132981,
11.65,2.3125,3.9,0.180081,
15.4,-3.9375,3.9,0.0322133,
16.65,-5.5,3.9,0.0223009,
16.65,-3.9375,3.9,0.0291804,
14.15,-3.9375,3.9,0.0356584,
14.15,-2.375,3.9,0.048632,
16.65,-7.0625,3.9,0.0170167,
17.9,-7.0625,3.9,0.0160442,
16.65,-11.75,3.9,0.00793847,
16.65,-13.3125,3.9,0.00620263,
17.9,-13.3125,3.9,0.00620335,
15.4,-10.1875,3.9,0.0104574,
16.65,-10.1875,3.9,0.0102406,
-19.6,-13.3125,3.9,0.00541029,
-18.35,-14.875,3.9,0.00414443,
-18.35,-13.3125,3.9,0.00542177,
-17.1,-16.4375,3.9,0.00305799,
-15.85,-18,3.9,0.0021359,
-17.1,-13.3125,3.9,0.00529827,
-15.85,-13.3125,3.9,0.00513836,
-15.85,32,3.9,0.142978,
-15.85,30.4375,3.9,0.152824,
-14.6,30.4375,3.9,0.162462,
-15.85,28.875,3.9,0.162736,
-15.85,27.3125,3.9,0.171683,
-13.35,28.875,3.9,0.186129,
-12.1,27.3125,3.9,0.21515,
-19.6,11.6875,3.9,0.131254,
-18.35,10.125,3.9,0.143051,
-18.35,11.6875,3.9,0.152595,
-17.1,8.5625,3.9,0.157758,
-15.85,7,3.9,0.171232,
-17.1,11.6875,3.9,0.183321,
-15.85,11.6875,3.9,0.217712,
0.4,-13.3125,3.9,0.00494571,
1.65,-14.875,3.9,0.00342306,
1.65,-13.3125,3.9,0.00409528,
-0.85,-13.3125,3.9,0.00520974,
-2.1,-13.3125,3.9,0.00483618,
2.9,-16.4375,3.9,0.0023833,
4.15,-18,3.9,0.00170889,
